name,region,prefix,set_code,set_type,release_date,set_card_list_name,set_card_gallery_name,image_url
Continuous Token Gifts Promotional Cards,Japanese,,,,,Set Card Lists:Continuous Token Gifts Promotional Cards (OCG-JP),Set Card Galleries:Continuous Token Gifts Promotional Cards (OCG-JP),
Controller of Chaos,Japanese,306,306,Booster pack,2003-04-24,Set Card Lists:Controller of Chaos (OCG-JP),Set Card Galleries:Controller of Chaos (OCG-JP),https://ms.yugipedia.com//f/f3/306-BoosterJP.jpg
Cosmo Blazer,Japanese,CBLZ-JP,CBLZ,Booster pack,2012-11-17,Set Card Lists:Cosmo Blazer (OCG-JP),Set Card Galleries:Cosmo Blazer (OCG-JP),https://ms.yugipedia.com//1/1f/CBLZ-BoosterEN.png
Crimson Crisis,Japanese,CRMS-JP,CRMS,Booster pack,2008-11-15,Set Card Lists:Crimson Crisis (OCG-JP),Set Card Galleries:Crimson Crisis (OCG-JP),https://ms.yugipedia.com//b/b8/CRMS-BoosterEN.jpg
Crimson Crisis 2-Pack Set,Japanese,CRMS-JP,CRMS,Promotional card,2008-12-27,Set Card Lists:Crimson Crisis 2-Pack Set (OCG-JP),Set Card Galleries:Crimson Crisis 2-Pack Set (OCG-JP),https://ms.yugipedia.com//a/a8/CRMS-PromoJP.png
Crossed Souls,Japanese,CROS-JP,CROS,Booster pack,2015-02-14,Set Card Lists:Crossed Souls (OCG-JP),Set Card Galleries:Crossed Souls (OCG-JP),https://ms.yugipedia.com//0/09/CROS-BoosterEN.png
Crossroads of Chaos,Japanese,CSOC-JP,CSOC,Booster pack,2008-07-19,Set Card Lists:Crossroads of Chaos (OCG-JP),Set Card Galleries:Crossroads of Chaos (OCG-JP),https://ms.yugipedia.com//0/0e/CSOC-Booster-EN-1E.jpg
Crossroads of Chaos 2-Pack Set,Japanese,CSOC-JP,CSOC,Promotional card,2008-08-31,Set Card Lists:Crossroads of Chaos 2-Pack Set (OCG-JP),Set Card Galleries:Crossroads of Chaos 2-Pack Set (OCG-JP),https://ms.yugipedia.com//f/fc/CSOC-PromoJP.png
Curse of Anubis,Japanese,,,,,Set Card Lists:Curse of Anubis (OCG-JP),Set Card Galleries:Curse of Anubis (OCG-JP),
Cyberdark Impact,Japanese,CDIP-JP,CDIP,Booster pack,2006-08-10,Set Card Lists:Cyberdark Impact (OCG-JP),Set Card Galleries:Cyberdark Impact (OCG-JP),https://ms.yugipedia.com//b/b5/CDIP-BoosterEN.png
Cyberdark Impact 2-Pack Set,Japanese,TKN-JP,TKN,Promotional card,2006-08-10,Set Card Lists:Cyberdark Impact 2-Pack Set (OCG-JP),Set Card Galleries:Cyberdark Impact 2-Pack Set (OCG-JP),https://ms.yugipedia.com//5/56/CDIP-PromoJP.png
Cyberdark Impact: Vendor Edition,Japanese,CDIP-JP,CDIP,Vendor Edition,2006-08-10,Set Card Lists:Cyberdark Impact: Vendor Edition (OCG-JP),Set Card Galleries:Cyberdark Impact: Vendor Edition (OCG-JP),
Cybernetic Horizon,Japanese,CYHO-JP,CYHO,Booster pack,2018-04-14,Set Card Lists:Cybernetic Horizon (OCG-JP),Set Card Galleries:Cybernetic Horizon (OCG-JP),https://ms.yugipedia.com//9/95/CYHO-BoosterEN.png
Cybernetic Revolution,Japanese,CRV-JP,CRV,Booster pack,2005-05-26,Set Card Lists:Cybernetic Revolution (OCG-JP),Set Card Galleries:Cybernetic Revolution (OCG-JP),https://ms.yugipedia.com//1/17/CRV-BoosterEN.png
Cybernetic Revolution: Vendor Edition,Japanese,CRV-JP,CRV,Vendor Edition,2005-05-26,Set Card Lists:Cybernetic Revolution: Vendor Edition (OCG-JP),Set Card Galleries:Cybernetic Revolution: Vendor Edition (OCG-JP),
Cyberstorm Access,Japanese,CYAC-JP,CYAC,Booster pack,2023-01-14,Set Card Lists:Cyberstorm Access (OCG-JP),Set Card Galleries:Cyberstorm Access (OCG-JP),https://ms.yugipedia.com//9/91/CYAC-BoosterEN.png
Cyberstorm Access +1 Bonus Pack,Japanese,CYAC-JPS,CYAC,Booster pack,2023-01-14,Set Card Lists:Cyberstorm Access +1 Bonus Pack (OCG-JP),Set Card Galleries:Cyberstorm Access +1 Bonus Pack (OCG-JP),https://ms.yugipedia.com//c/c4/CYAC-BoosterJP-BonusPack.png
Dark Ceremony Edition,Japanese,,,Booster pack,2000-03-23,Set Card Lists:Dark Ceremony Edition (OCG-JP),Set Card Galleries:Dark Ceremony Edition (OCG-JP),https://ms.yugipedia.com//5/53/DC-BoosterJP.jpg
Dark Neostorm,Japanese,DANE-JP,DANE,Booster pack,2019-01-12,Set Card Lists:Dark Neostorm (OCG-JP),Set Card Galleries:Dark Neostorm (OCG-JP),https://ms.yugipedia.com//d/db/DANE-BoosterEN.png
Darkwing Blast,Japanese,DABL-JP,DABL,Booster pack,2022-07-16,Set Card Lists:Darkwing Blast (OCG-JP),Set Card Galleries:Darkwing Blast (OCG-JP),https://ms.yugipedia.com//b/b1/DABL-BoosterEN.png
Darkwing Blast +1 Bonus Pack,Japanese,DABL-JPS,DABL,Booster pack,2022-07-16,Set Card Lists:Darkwing Blast +1 Bonus Pack (OCG-JP),Set Card Galleries:Darkwing Blast +1 Bonus Pack (OCG-JP),https://ms.yugipedia.com//c/c4/DABL-BoosterJP-BonusPack.png
