name,region,prefix,set_code,set_type,release_date,set_card_list_name,set_card_gallery_name,image_url
EX-R Starter Box,Japanese,EX,EX,Starter Deck,2000-11-23,Set Card Lists:EX-R Starter Box (OCG-JP),Set Card Galleries:EX-R Starter Box (OCG-JP),https://ms.yugipedia.com//e/e7/StarterDeckEXR-JP.png
Exosister Duel Set,Japanese,22YJ-JPY,22YJ,Promotional card,2022-03-28,Set Card Lists:Exosister Duel Set (OCG-JP),Set Card Galleries:Exosister Duel Set (OCG-JP),https://ms.yugipedia.com//b/b9/ExosisterDuelSet-PromoJP.png
Expert Edition Volume 3,Japanese,EE3-JP,EE3,Booster pack,2005-12-08,Set Card Lists:Expert Edition Volume 3 (OCG-JP),Set Card Galleries:Expert Edition Volume 3 (OCG-JP),https://ms.yugipedia.com//7/76/EE3-BoosterJP.png
Expert Edition Volume 4,Japanese,EE04-JP,EE04,Booster pack,2007-09-22,Set Card Lists:Expert Edition Volume 4 (OCG-JP),Set Card Galleries:Expert Edition Volume 4 (OCG-JP),https://ms.yugipedia.com//9/90/EE04-BoosterJP.png
Expert Edition Volume.1,Japanese,EE1-JP,EE1,Booster pack,2004-09-23,Set Card Lists:Expert Edition Volume.1 (OCG-JP),Set Card Galleries:Expert Edition Volume.1 (OCG-JP),https://ms.yugipedia.com//8/85/EE1-BoosterJP.png
Expert Edition Volume.2,Japanese,EE2-JP,EE2,Booster pack,2005-03-17,Set Card Lists:Expert Edition Volume.2 (OCG-JP),Set Card Galleries:Expert Edition Volume.2 (OCG-JP),https://ms.yugipedia.com//c/c6/EE2-BoosterJP.png
Extra Pack,Japanese,EXP1-JP,EXP1,Booster pack,2008-09-13,Set Card Lists:Extra Pack (OCG-JP),Set Card Galleries:Extra Pack (OCG-JP),https://ms.yugipedia.com//b/b0/EXP1-BoosterJP.png
Extra Pack 2012,Japanese,EP12-JP,EP12,Booster pack,2012-10-13,Set Card Lists:Extra Pack 2012 (OCG-JP),Set Card Galleries:Extra Pack 2012 (OCG-JP),https://ms.yugipedia.com//e/e6/EP12-BoosterJP.png
Extra Pack 2015,Japanese,EP15-JP,EP15,Booster pack,2015-09-19,Set Card Lists:Extra Pack 2015 (OCG-JP),Set Card Galleries:Extra Pack 2015 (OCG-JP),https://ms.yugipedia.com//c/cb/EP15-BoosterJP.png
Extra Pack 2016,Japanese,EP16-JP,EP16,Booster pack,2016-09-10,Set Card Lists:Extra Pack 2016 (OCG-JP),Set Card Galleries:Extra Pack 2016 (OCG-JP),https://ms.yugipedia.com//4/4f/EP16-BoosterJP.png
Extra Pack 2017,Japanese,EP17-JP,EP17,Booster pack,2017-09-09,Set Card Lists:Extra Pack 2017 (OCG-JP),Set Card Galleries:Extra Pack 2017 (OCG-JP),https://ms.yugipedia.com//e/ea/EP17-BoosterJP.png
Extra Pack 2018,Japanese,EP18-JP,EP18,Booster pack,2018-09-08,Set Card Lists:Extra Pack 2018 (OCG-JP),Set Card Galleries:Extra Pack 2018 (OCG-JP),https://ms.yugipedia.com//5/50/EP18-BoosterJP.png
Extra Pack 2019,Japanese,EP19-JP,EP19,Booster pack,2019-09-14,Set Card Lists:Extra Pack 2019 (OCG-JP),Set Card Galleries:Extra Pack 2019 (OCG-JP),https://ms.yugipedia.com//5/59/EP19-BoosterJP.png
Extra Pack Volume 2,Japanese,EXP2-JP,EXP2,Booster pack,2009-09-19,Set Card Lists:Extra Pack Volume 2 (OCG-JP),Set Card Galleries:Extra Pack Volume 2 (OCG-JP),https://ms.yugipedia.com//5/5d/EXP2-BoosterJP.png
Extra Pack Volume 3,Japanese,EXP3-JP,EXP3,Booster pack,2010-09-18,Set Card Lists:Extra Pack Volume 3 (OCG-JP),Set Card Galleries:Extra Pack Volume 3 (OCG-JP),https://ms.yugipedia.com//a/a5/EXP3-BoosterJP.png
Extra Pack Volume 4,Japanese,EXP4-JP,EXP4,Booster pack,2011-09-17,Set Card Lists:Extra Pack Volume 4 (OCG-JP),Set Card Galleries:Extra Pack Volume 4 (OCG-JP),https://ms.yugipedia.com//2/22/EXP4-BoosterJP.png
Extra Pack: Knights of Order,Japanese,EP14-JP,EP14,Booster pack,2014-09-13,Set Card Lists:Extra Pack: Knights of Order (OCG-JP),Set Card Galleries:Extra Pack: Knights of Order (OCG-JP),https://ms.yugipedia.com//8/84/EP14-BoosterJP.png
Extra Pack: Sword of Knights,Japanese,EP13-JP,EP13,Booster pack,2013-05-18,Set Card Lists:Extra Pack: Sword of Knights (OCG-JP),Set Card Galleries:Extra Pack: Sword of Knights (OCG-JP),https://ms.yugipedia.com//c/c3/EP13-BoosterJP.png
Extreme Force,Japanese,EXFO-JP,EXFO,Booster pack,2017-10-14,Set Card Lists:Extreme Force (OCG-JP),Set Card Galleries:Extreme Force (OCG-JP),https://ms.yugipedia.com//0/0f/EXFO-BoosterEN.png
Extreme Victory,Japanese,EXVC-JP,EXVC,Booster pack,2011-02-11,Set Card Lists:Extreme Victory (OCG-JP),Set Card Galleries:Extreme Victory (OCG-JP),https://ms.yugipedia.com//a/a6/EXVC-BoosterEN.png
Extreme Victory 2-Pack Set,Japanese,EXVC-JP,EXVC,Promotional card,2011-03-24,Set Card Lists:Extreme Victory 2-Pack Set (OCG-JP),Set Card Galleries:Extreme Victory 2-Pack Set (OCG-JP),https://ms.yugipedia.com//1/17/EXVC-PromoJP.png
Fiendsmith Duel Set,Japanese,24YJ-JPO,24YJ,Promotional card,2024-11-04,Set Card Lists:Fiendsmith Duel Set (OCG-JP),,https://ms.yugipedia.com//5/5f/FiendsmithDuelSet-PromoJP.png
Flames of Destruction,Japanese,FLOD-JP,FLOD,Booster pack,2018-01-13,Set Card Lists:Flames of Destruction (OCG-JP),Set Card Galleries:Flames of Destruction (OCG-JP),https://ms.yugipedia.com//1/15/FLOD-BoosterEN.png
Flaming Eternity,Japanese,FET-JP,FET,Booster pack,2004-11-25,Set Card Lists:Flaming Eternity (OCG-JP),Set Card Galleries:Flaming Eternity (OCG-JP),https://ms.yugipedia.com//d/da/FET-BoosterEN.png
Flaming Eternity: Vendor Edition,Japanese,FET-JP,FET,Vendor Edition,2004-11-25,Set Card Lists:Flaming Eternity: Vendor Edition (OCG-JP),Set Card Galleries:Flaming Eternity: Vendor Edition (OCG-JP),
Force of the Breaker,Japanese,FOTB-JP,FOTB,Booster pack,2007-02-15,Set Card Lists:Force of the Breaker (OCG-JP),Set Card Galleries:Force of the Breaker (OCG-JP),https://ms.yugipedia.com//3/3a/FOTB-BoosterEN.png
Force of the Breaker 2-Pack Set,Japanese,TKN-JP,TKN,Promotional card,2007-04-26,Set Card Lists:Force of the Breaker 2-Pack Set (OCG-JP),Set Card Galleries:Force of the Breaker 2-Pack Set (OCG-JP),https://ms.yugipedia.com//1/12/FOTB-PromoJP.png
Force of the Breaker: Vendor Edition,Japanese,FOTB-JP,FOTB,Vendor Edition,2007-02-15,Set Card Lists:Force of the Breaker: Vendor Edition (OCG-JP),Set Card Galleries:Force of the Breaker: Vendor Edition (OCG-JP),
Galactic Overlord,Japanese,GAOV-JP,GAOV,Booster pack,2012-02-18,Set Card Lists:Galactic Overlord (OCG-JP),Set Card Galleries:Galactic Overlord (OCG-JP),https://ms.yugipedia.com//b/b7/GAOV-BoosterEN.png
Generation Force,Japanese,GENF-JP,GENF,Booster pack,2011-04-16,Set Card Lists:Generation Force (OCG-JP),Set Card Galleries:Generation Force (OCG-JP),https://ms.yugipedia.com//b/ba/GENF-BoosterEN.png
Generation Force 2-Pack Set,Japanese,GENF-JP,GENF,Promotional card,2011-05-28,Set Card Lists:Generation Force 2-Pack Set (OCG-JP),Set Card Galleries:Generation Force 2-Pack Set (OCG-JP),https://ms.yugipedia.com//f/f2/GENF-PromoJP.png
Gladiator's Assault,Japanese,GLAS-JP,GLAS,Booster pack,2007-07-21,Set Card Lists:Gladiator's Assault (OCG-JP),Set Card Galleries:Gladiator's Assault (OCG-JP),https://ms.yugipedia.com//4/47/GLAS-BoosterEN.png
Gladiator's Assault 2-Pack Set,Japanese,GLAS-JP,GLAS,Promotional card,2007-09-27,Set Card Lists:Gladiator's Assault 2-Pack Set (OCG-JP),Set Card Galleries:Gladiator's Assault 2-Pack Set (OCG-JP),https://ms.yugipedia.com//1/10/GLAS-PromoJP.png
Gold Pack 2016,Japanese,GP16-JP,GP16,Booster pack,2016-02-20,Set Card Lists:Gold Pack 2016 (OCG-JP),Set Card Galleries:Gold Pack 2016 (OCG-JP),https://ms.yugipedia.com//2/25/GP16-BoosterJP.png
Gold Series,Japanese,,,,,Set Card Lists:Gold Series (OCG-JP),Set Card Galleries:Gold Series (OCG-JP),
Gold Series 2010,Japanese,GS02-JP,GS02,Booster pack,2010-01-23,Set Card Lists:Gold Series 2010 (OCG-JP),Set Card Galleries:Gold Series 2010 (OCG-JP),https://ms.yugipedia.com//c/c4/GS02-BoosterJP.png
Gold Series 2011,Japanese,GS03-JP,GS03,Booster pack,2011-01-15,Set Card Lists:Gold Series 2011 (OCG-JP),Set Card Galleries:Gold Series 2011 (OCG-JP),https://ms.yugipedia.com//d/db/GS03-BoosterJP.png
Gold Series 2012,Japanese,GS04-JP,GS04,Booster pack,2012-01-07,Set Card Lists:Gold Series 2012 (OCG-JP),Set Card Galleries:Gold Series 2012 (OCG-JP),https://ms.yugipedia.com//4/47/GS04-BoosterJP.png
Gold Series 2013,Japanese,GS05-JP,GS05,Booster pack,2013-01-12,Set Card Lists:Gold Series 2013 (OCG-JP),Set Card Galleries:Gold Series 2013 (OCG-JP),https://ms.yugipedia.com//c/c4/GS05-BoosterJP.png
Gold Series 2014,Japanese,GS06-JP,GS06,Booster pack,2014-01-11,Set Card Lists:Gold Series 2014 (OCG-JP),Set Card Galleries:Gold Series 2014 (OCG-JP),https://ms.yugipedia.com//2/2d/GS06-BoosterJP.png
GU collaboration cards,Japanese,GUC1-JP,GUC1,Promotional card,2023-09-15,Set Card Lists:GU collaboration cards (OCG-JP),Set Card Galleries:GU collaboration cards (OCG-JP),https://ms.yugipedia.com//0/03/GUC1-PromoJP.png
Half Deck 2018: DARK,Japanese,HD18-JPD,HD18,,2018-06-30,Set Card Lists:Half Deck 2018: DARK (OCG-JP),Set Card Galleries:Half Deck 2018: DARK (OCG-JP),https://ms.yugipedia.com//0/08/HD18-DeckJP-DARK.png
Half Deck 2018: LIGHT,Japanese,HD18-JPL,HD18,,2018-06-30,Set Card Lists:Half Deck 2018: LIGHT (OCG-JP),Set Card Galleries:Half Deck 2018: LIGHT (OCG-JP),https://ms.yugipedia.com//f/f0/HD18-DeckJP-LIGHT.png
Half-Deck: DARK,Japanese,HD13-JPD,HD13,,2013-07-20,Set Card Lists:Half-Deck: DARK (OCG-JP),Set Card Galleries:Half-Deck: DARK (OCG-JP),https://ms.yugipedia.com//7/7d/HD13-DeckJP-VerB.png
Half-Deck: LIGHT,Japanese,HD13-JPL,HD13,,2013-07-20,Set Card Lists:Half-Deck: LIGHT (OCG-JP),Set Card Galleries:Half-Deck: LIGHT (OCG-JP),https://ms.yugipedia.com//c/ca/HD13-DeckJP-VerA.png
High-Resolution Artwork Series,Japanese,AW01-JP,AW01,Promotional card,2024-03-23,Set Card Lists:High-Resolution Artwork Series (OCG-JP),,https://ms.yugipedia.com//5/55/AW01-PromoJP.png
History Archive Collection,Japanese,HC01-JP,HC01,Booster pack,2022-02-19,Set Card Lists:History Archive Collection (OCG-JP),Set Card Galleries:History Archive Collection (OCG-JP),https://ms.yugipedia.com//3/3e/HC01-BoosterJP.png
Ignition Assault,Japanese,IGAS-JP,IGAS,Booster pack,2019-10-12,Set Card Lists:Ignition Assault (OCG-JP),Set Card Galleries:Ignition Assault (OCG-JP),https://ms.yugipedia.com//2/28/IGAS-BoosterEN.png
Infinite Forbidden +1 Bonus Pack,Japanese,INFO-JPS,INFO,Booster pack,2024-04-27,Set Card Lists:Infinite Forbidden +1 Bonus Pack (OCG-JP),Set Card Galleries:Infinite Forbidden +1 Bonus Pack (OCG-JP),https://ms.yugipedia.com//b/b0/INFO-BoosterJP-BonusPack.png
Invader of Darkness,Japanese,,,,,Set Card Lists:Invader of Darkness (OCG-JP),Set Card Galleries:Invader of Darkness (OCG-JP),
Invasion: Vengeance,Japanese,INOV-JP,INOV,Booster pack,2016-07-09,Set Card Lists:Invasion: Vengeance (OCG-JP),Set Card Galleries:Invasion: Vengeance (OCG-JP),https://ms.yugipedia.com//5/56/INOV-BoosterEN.png
Japan Championship 2021 Shop Qualifiers participation card,Japanese,2021-JPJ,2021,Promotional card,2021-11-20,Set Card Lists:Japan Championship 2021 Shop Qualifiers participation card (OCG-JP),,https://ms.yugipedia.com//9/96/Japan_Championship_2021_Logo.png
Japan Championship 2023 Shop Qualifiers promotional card,Japanese,2023-JP,2023,Promotional card,2023-03-01,Set Card Lists:Japan Championship 2023 Shop Qualifiers promotional card (OCG-JP),,https://ms.yugipedia.com//5/52/Japan_Championship_2023_Logo.png
Japan Championship 2025 Finals prize card,Japanese,25YC-JP,25YC,Promotional card,2025-06-29,Set Card Lists:Japan Championship 2025 Finals prize card (OCG-JP),,https://ms.yugipedia.com//c/c3/Japan_Championship_2025_Logo.png
Judgment of the Light,Japanese,JOTL-JP,JOTL,Booster pack,2013-04-20,Set Card Lists:Judgment of the Light (OCG-JP),Set Card Galleries:Judgment of the Light (OCG-JP),https://ms.yugipedia.com//e/e4/JOTL-BoosterEN.png
Jump Festa 2000,Japanese,,,Promotional card,1999-12-18,Set Card Lists:Jump Festa 2000 (OCG-JP),Set Card Galleries:Jump Festa 2000 (OCG-JP),https://ms.yugipedia.com//7/70/JF-PromoJP.jpg
Jump Festa 2004 promotional cards,Japanese,PC3,PC3,Promotional card,2003-12-20,Set Card Lists:Jump Festa 2004 promotional cards (OCG-JP),Set Card Galleries:Jump Festa 2004 promotional cards (OCG-JP),https://ms.yugipedia.com//0/0d/JumpFesta2004-PromoJP.png
Jump Festa 2005 promotional cards,Japanese,PC5-JP,PC5,Promotional card,2004-12-18,Set Card Lists:Jump Festa 2005 promotional cards (OCG-JP),Set Card Galleries:Jump Festa 2005 promotional cards (OCG-JP),https://ms.yugipedia.com//2/2e/JumpFesta2005-PromoJP.png
Jump Festa 2006 promotional cards,Japanese,TKN-JP,TKN,Promotional card,2005-12-17,Set Card Lists:Jump Festa 2006 promotional cards (OCG-JP),Set Card Galleries:Jump Festa 2006 promotional cards (OCG-JP),https://ms.yugipedia.com//7/70/TKN-PromoJP.jpg
Jump Festa 2007 promotional cards,Japanese,JF07-JP,JF07,Promotional card,2006-12-16,Set Card Lists:Jump Festa 2007 promotional cards (OCG-JP),Set Card Galleries:Jump Festa 2007 promotional cards (OCG-JP),https://ms.yugipedia.com//4/47/JF07-PromoJP.jpg
Jump Festa 2008 promotional cards,Japanese,JF08-JP,JF08,Promotional card,2007-12-22,Set Card Lists:Jump Festa 2008 promotional cards (OCG-JP),Set Card Galleries:Jump Festa 2008 promotional cards (OCG-JP),https://ms.yugipedia.com//5/52/JF08-PromoJP.jpg
Jump Festa 2009 - Promotion Pack,Japanese,JF09-JP,JF09,Booster pack,2008-12-20,Set Card Lists:Jump Festa 2009 - Promotion Pack (OCG-JP),Set Card Galleries:Jump Festa 2009 - Promotion Pack (OCG-JP),https://ms.yugipedia.com//a/ae/JF09-PromoJP.png
Jump Festa 2010 - Promotion Pack,Japanese,JF10-JP,JF10,Booster pack,2009-12-19,Set Card Lists:Jump Festa 2010 - Promotion Pack (OCG-JP),Set Card Galleries:Jump Festa 2010 - Promotion Pack (OCG-JP),https://ms.yugipedia.com//f/fa/JF10-PromoJP.png
Jump Festa 2011 - Promotion Pack,Japanese,JF11-JP,JF11,Booster pack,2010-12-18,Set Card Lists:Jump Festa 2011 - Promotion Pack (OCG-JP),Set Card Galleries:Jump Festa 2011 - Promotion Pack (OCG-JP),https://ms.yugipedia.com//d/dc/JF11-PromoJP.png
Jump Festa 2012 - Promotion Pack A,Japanese,JF12-JPA,JF12,Booster pack,2011-12-17,Set Card Lists:Jump Festa 2012 - Promotion Pack A (OCG-JP),Set Card Galleries:Jump Festa 2012 - Promotion Pack A (OCG-JP),https://ms.yugipedia.com//2/2b/JF12A-BoosterJP.jpg
Jump Festa 2012 - Promotion Pack B,Japanese,JF12-JPB,JF12,Booster pack,2011-12-18,Set Card Lists:Jump Festa 2012 - Promotion Pack B (OCG-JP),Set Card Galleries:Jump Festa 2012 - Promotion Pack B (OCG-JP),https://ms.yugipedia.com//3/33/JF12B-BoosterJP.png
Jump Festa 2013 - Promotion Pack A,Japanese,JF13-JPA,JF13,Booster pack,2012-12-22,Set Card Lists:Jump Festa 2013 - Promotion Pack A (OCG-JP),Set Card Galleries:Jump Festa 2013 - Promotion Pack A (OCG-JP),https://ms.yugipedia.com//1/15/JF13A-PromoJP.png
Jump Festa 2013 - Promotion Pack B,Japanese,JF13-JPB,JF13,Booster pack,2012-12-23,Set Card Lists:Jump Festa 2013 - Promotion Pack B (OCG-JP),Set Card Galleries:Jump Festa 2013 - Promotion Pack B (OCG-JP),https://ms.yugipedia.com//0/08/JF13B-PromoJP.png
Jump Festa 2014 - Promotion Pack,Japanese,JF14-JP,JF14,Booster pack,2013-12-21,Set Card Lists:Jump Festa 2014 - Promotion Pack (OCG-JP),Set Card Galleries:Jump Festa 2014 - Promotion Pack (OCG-JP),https://ms.yugipedia.com//a/aa/JF14-PromoJP.png
Jump Festa 2015 - Promotion Pack,Japanese,JF15-JP,JF15,Booster pack,2014-12-20,Set Card Lists:Jump Festa 2015 - Promotion Pack (OCG-JP),Set Card Galleries:Jump Festa 2015 - Promotion Pack (OCG-JP),https://ms.yugipedia.com//9/95/JF15-BoosterJP.png
Jump Festa 2016 promotional cards,Japanese,JF16-JPT,JF16,Promotional card,2015-12-19,Set Card Lists:Jump Festa 2016 promotional cards (OCG-JP),Set Card Galleries:Jump Festa 2016 promotional cards (OCG-JP),https://ms.yugipedia.com//7/7b/JF16-PromoJP.png
Jump Festa 2018 Special Set,Japanese,JF18-JP,JF18,Promotional card,2017-12-16,Set Card Lists:Jump Festa 2018 Special Set (OCG-JP),Set Card Galleries:Jump Festa 2018 Special Set (OCG-JP),
Jump Festa Limited Pack 2019,Japanese,JF19-JP,JF19,Booster pack,2018-12-22,Set Card Lists:Jump Festa Limited Pack 2019 (OCG-JP),Set Card Galleries:Jump Festa Limited Pack 2019 (OCG-JP),https://ms.yugipedia.com//1/10/JF19-BoosterJP.png
Jump Festa Limited Pack 2020,Japanese,JF20-JP,JF20,Booster pack,2019-12-21,Set Card Lists:Jump Festa Limited Pack 2020 (OCG-JP),Set Card Galleries:Jump Festa Limited Pack 2020 (OCG-JP),https://ms.yugipedia.com//c/c2/JF20-BoosterJP.png
Jump Heroes promotional card,Japanese,JHS-JP,JHS,Magazine promotional card,2005-06-30,Set Card Lists:Jump Heroes promotional card (OCG-JP),Set Card Galleries:Jump Heroes promotional card (OCG-JP),https://ms.yugipedia.com//3/3c/JHS-PromoJP.jpg
Jump novel lottery prize card,Japanese,,,Promotional card,1999-09-25,Set Card Lists:Jump novel lottery prize card (OCG-JP),,https://ms.yugipedia.com//3/3b/Jump_novel_vol.16.png
Jump Ryū Vol.08 promotional card,Japanese,JMPR-JP,JMPR,Magazine promotional card,2016-04-21,Set Card Lists:Jump Ryū Vol.08 promotional card (OCG-JP),Set Card Galleries:Jump Ryū Vol.08 promotional card (OCG-JP),https://ms.yugipedia.com//b/be/JumpRyu-Vol08-Cover.png
Jump Super Anime Tour 2008 promotional card,Japanese,AT08-JP,AT08,Promotional card,2008-09-21,Set Card Lists:Jump Super Anime Tour 2008 promotional card (OCG-JP),Set Card Galleries:Jump Super Anime Tour 2008 promotional card (OCG-JP),https://ms.yugipedia.com//a/a7/AT08-PromoJP.jpg
Jump Super Game Tour 2006 participation cards,Japanese,TKN2-JP,TKN2,Promotional card,2006-07-26,Set Card Lists:Jump Super Game Tour 2006 participation cards (OCG-JP),Set Card Galleries:Jump Super Game Tour 2006 participation cards (OCG-JP),https://ms.yugipedia.com//2/26/TKN2-PromoJP.jpg
Jump Victory Carnival 2014 promotional card,Japanese,VF14-JP,VF14,,2014-07-19,Set Card Lists:Jump Victory Carnival 2014 promotional card (OCG-JP),Set Card Galleries:Jump Victory Carnival 2014 promotional card (OCG-JP),https://ms.yugipedia.com//5/5d/VF14-PromoJP.png
Jump Victory Carnival 2015 promotional card,Japanese,VF15-JP,VF15,Promotional card,2015-07-18,Set Card Lists:Jump Victory Carnival 2015 promotional card (OCG-JP),Set Card Galleries:Jump Victory Carnival 2015 promotional card (OCG-JP),https://ms.yugipedia.com//2/22/VF15-PromoJP.png
Jump Victory Carnival 2016 - Promotion Pack,Japanese,VF16-JPP,VF16,Booster pack,2016-07-30,Set Card Lists:Jump Victory Carnival 2016 - Promotion Pack (OCG-JP),Set Card Galleries:Jump Victory Carnival 2016 - Promotion Pack (OCG-JP),https://ms.yugipedia.com//e/ec/VF16-BoosterJP.png
Jump Victory Carnival 2016 promotional card,Japanese,VF16-JP,VF16,Promotional card,2016-07-30,Set Card Lists:Jump Victory Carnival 2016 promotional card (OCG-JP),Set Card Galleries:Jump Victory Carnival 2016 promotional card (OCG-JP),https://ms.yugipedia.com//8/8d/VF16-PromoJP.png
Jump Victory Carnival 2017 promotional card,Japanese,VF17-JP,VF17,Promotional card,2017-07-22,Set Card Lists:Jump Victory Carnival 2017 promotional card (OCG-JP),Set Card Galleries:Jump Victory Carnival 2017 promotional card (OCG-JP),https://ms.yugipedia.com//0/0f/VF17-PromoJP.png
Jump Victory Carnival 2018 promotional card,Japanese,VF18-JP,VF18,Promotional card,2018-07-16,Set Card Lists:Jump Victory Carnival 2018 promotional card (OCG-JP),Set Card Galleries:Jump Victory Carnival 2018 promotional card (OCG-JP),https://ms.yugipedia.com//9/93/VF18-PromoJP.png
Jump Victory Carnival 2019 promotional card,Japanese,VF19-JP,VF19,Promotional card,2019-07-21,Set Card Lists:Jump Victory Carnival 2019 promotional card (OCG-JP),Set Card Galleries:Jump Victory Carnival 2019 promotional card (OCG-JP),https://ms.yugipedia.com//f/f5/VF19-PromoJP.png
Konami official tournament 2000 participation card,Japanese,2000,2000,Participation card,2000-08-01,Set Card Lists:Konami official tournament 2000 participation card (OCG-JP),Set Card Galleries:Konami official tournament 2000 participation card (OCG-JP),https://ms.yugipedia.com//d/d8/Yu-Gi-Oh%21_Official_Card_Game.jpg
Konami official tournament 2004 participation card,Japanese,2004,2004,Participation card,2004-01-01,Set Card Lists:Konami official tournament 2004 participation card (OCG-JP),,https://ms.yugipedia.com//d/d8/Yu-Gi-Oh%21_Official_Card_Game.jpg
Labrynth Duel Set,Japanese,23YJ-JPN,23YJ,Promotional card,2023-11-04,Set Card Lists:Labrynth Duel Set (OCG-JP),,https://ms.yugipedia.com//6/62/LabrynthDuelSet-PromoJP.png
Labyrinth of Nightmare,Japanese,,,,,Set Card Lists:Labyrinth of Nightmare (OCG-JP),Set Card Galleries:Labyrinth of Nightmare (OCG-JP),
Legacy of Destruction,Japanese,LEDE-JP,LEDE,Booster pack,2024-01-27,Set Card Lists:Legacy of Destruction (OCG-JP),Set Card Galleries:Legacy of Destruction (OCG-JP),https://ms.yugipedia.com//a/ac/LEDE-BoosterEN.png
Legacy of Destruction +1 Bonus Pack,Japanese,LEDE-JPS,LEDE,Booster pack,2024-01-27,Set Card Lists:Legacy of Destruction +1 Bonus Pack (OCG-JP),Set Card Galleries:Legacy of Destruction +1 Bonus Pack (OCG-JP),https://ms.yugipedia.com//6/63/LEDE-BoosterJP-BonusPack.png
Legacy of the Valiant,Japanese,LVAL-JP,LVAL,Booster pack,2013-11-16,Set Card Lists:Legacy of the Valiant (OCG-JP),Set Card Galleries:Legacy of the Valiant (OCG-JP),https://ms.yugipedia.com//a/a3/LVAL-BoosterEN.png
Legend of Blue Eyes White Dragon,Japanese,,,,,Set Card Lists:Legend of Blue Eyes White Dragon (OCG-JP),Set Card Galleries:Legend of Blue Eyes White Dragon (OCG-JP),
"Legendary ""Black Luster Soldier"" GET Campaign",Japanese,,,Promotional card,2023-09-02,"Set Card Lists:Legendary ""Black Luster Soldier"" GET Campaign (OCG-JP)","Set Card Galleries:Legendary ""Black Luster Soldier"" GET Campaign (OCG-JP)",https://ms.yugipedia.com//3/30/LegendaryBlackLusterSoldierGETCampaign-PromoJP.png
Legendary Dragon of White/Legendary Magician of Dark Duel Set,Japanese,2023-JPD,2023,Promotional card,2023-08-06,Set Card Lists:Legendary Dragon of White/Legendary Magician of Dark Duel Set (OCG-JP),Set Card Galleries:Legendary Dragon of White/Legendary Magician of Dark Duel Set (OCG-JP),https://ms.yugipedia.com//0/06/LegendaryDragonLegendaryMagician-PromoJP.png
Legendary Gold Box,Japanese,LGB1-JP,LGB1,Collector's Set,2019-12-21,Set Card Lists:Legendary Gold Box (OCG-JP),Set Card Galleries:Legendary Gold Box (OCG-JP),https://ms.yugipedia.com//4/40/LGB1-PromoJP.png
Legendary Monsters Pack,Japanese,VP21-JP,VP21,Booster pack,2021-05-27,Set Card Lists:Legendary Monsters Pack (OCG-JP),Set Card Galleries:Legendary Monsters Pack (OCG-JP),https://ms.yugipedia.com//0/08/VP21-BoosterJP.png
Light of Destruction,Japanese,LODT-JP,LODT,Booster pack,2008-02-23,Set Card Lists:Light of Destruction (OCG-JP),Set Card Galleries:Light of Destruction (OCG-JP),https://ms.yugipedia.com//6/6b/LODT-Booster-EN-UE.png
Light of Destruction 2-Pack Set,Japanese,LODT-JP,LODT,Promotional card,2008-03-08,Set Card Lists:Light of Destruction 2-Pack Set (OCG-JP),Set Card Galleries:Light of Destruction 2-Pack Set (OCG-JP),https://ms.yugipedia.com//f/f8/LODT-PromoJP.png
Lightning Overdrive,Japanese,LIOV-JP,LIOV,Booster pack,2021-01-16,Set Card Lists:Lightning Overdrive (OCG-JP),Set Card Galleries:Lightning Overdrive (OCG-JP),https://ms.yugipedia.com//1/13/LIOV-BoosterEN.png
Lightning Overdrive +1 Bonus Pack,Japanese,LIOV-JPS,LIOV,Booster pack,2021-01-16,Set Card Lists:Lightning Overdrive +1 Bonus Pack (OCG-JP),Set Card Galleries:Lightning Overdrive +1 Bonus Pack (OCG-JP),https://ms.yugipedia.com//f/f9/LIOV-BoosterJP-BonusPack.png
Limited Edition,Japanese,,,,,Set Card Lists:Limited Edition (OCG-JP),Set Card Galleries:Limited Edition (OCG-JP),
Limited Edition 10,Japanese,LE10-JP,LE10,Booster pack,2007-05-21,Set Card Lists:Limited Edition 10 (OCG-JP),Set Card Galleries:Limited Edition 10 (OCG-JP),https://ms.yugipedia.com//e/ed/LE10-BoosterJP.png
Limited Edition 10: Chaos Black,Japanese,,,Booster pack,2007-08-21,Set Card Lists:Limited Edition 10: Chaos Black (OCG-JP),Set Card Galleries:Limited Edition 10: Chaos Black (OCG-JP),https://ms.yugipedia.com//a/aa/LE10CB-BoosterJP.png
Limited Edition 10: Holy White,Japanese,,,Booster pack,2007-05-21,Set Card Lists:Limited Edition 10: Holy White (OCG-JP),Set Card Galleries:Limited Edition 10: Holy White (OCG-JP),https://ms.yugipedia.com//c/cb/LE10HW-BoosterJP.png
Limited Edition 11,Japanese,LE11-JP,LE11,Booster pack,2007-10-20,Set Card Lists:Limited Edition 11 (OCG-JP),Set Card Galleries:Limited Edition 11 (OCG-JP),https://ms.yugipedia.com//0/00/LE11-BoosterJP.png
Limited Edition 12,Japanese,LE12-JP,LE12,Booster pack,2008-05-21,Set Card Lists:Limited Edition 12 (OCG-JP),Set Card Galleries:Limited Edition 12 (OCG-JP),https://ms.yugipedia.com//3/35/LE12-BoosterJP.jpg
